id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
127,20,female,adult,dry & plenty,143.0150953,45.13727554,743.0624229,381.3373727,19.79654891,31.4366821,0,1802.001997,109.082656,3940.334843,71.18183221,11.76285184,6.0,3,4,5,0.26363641,0.35645005,0.90093416,2.5277667,0.35303923,0.71239573,0.5306381,-0.17479692,-0.85290772,-1.8994477,-0.52084273,-0.32236603,-0.33147275,1.0,0.47667173,0.16753617,0.34088331,0.43419629,0.055559162,0.36190969
129,21,female,adult,dry & plenty,165.7262323,122.5399599,692.8085678,242.4457624,19.48310016,31.30684394,0,1575.857719,74.50312901,4534.333076,62.60957677,17.09994787,7.0,3,4,5,0.23188733,0.51818025,0.85166949,2.1277666,0.61382717,-0.13871825,-0.40172154,-0.31380454,0.81974173,-2.0507483,-0.44643661,-0.22907606,-0.25922588,1.0,0.30305719,0.19164319,0.23282228,0.41293171,0.055557262,0.37093756
130,12,male,child,dry & plenty,66.50712832,33.50281987,243.0478248,180.0767377,7.992784203,11.47960867,0,625.0348041,107.8675802,1539.880489,358.4432077,39.09580279,7.0,5,6,9,1.0,1.0,0.89003539,2.5207522,0.47057837,0.52410471,0.51428801,-0.34160605,-0.099031709,0.28714892,0.25449499,-0.21866351,-0.1412285,1.0,0.36015347,0.19002235,0.89889652,0.74151206,0.11664138,0.38568234
131,20,female,adult,dry & plenty,105.7134105,32.72544075,718.2190451,468.7901952,19.36084391,28.14142523,0,1971.492455,179.4115312,3580.635252,375.494349,86.49884046,8.0,4,5,6,1.0,1.0,0.8826195,2.4496977,0.5615592,0.39598516,0.34866726,0.13101983,0.48450384,0.10888408,-0.1224014,-0.039750185,-0.47573137,1.0,0.58598775,0.15209779,0.56066102,0.71645778,0.11041928,0.34388334
132,12,female,child,dry & plenty,39.62418612,27.43269351,136.0190296,608.6370951,4.556801589,5.642741015,0,994.0531507,135.7930076,940.8945799,380.8586136,167.6118869,7.0,5,6,8,1.0,1.0,0.88269156,2.3265531,0.34814429,0.39723012,0.061629623,-0.091392346,-0.88430309,0.872787,0.39992073,-0.25771058,-0.32853854,0.82981485,1.0,0.11310955,1.0,0.82382071,0.15597047,0.36227635
133,20,female,adult,dry & plenty,98.2482385,45.25125907,526.7700399,316.361414,15.00830517,19.25847883,0,1507.636039,222.8554183,2886.718129,382.1653547,166.323201,7.0,5,5,6,1.0,1.0,0.90868467,2.5068319,0.29948947,0.84629631,0.48184115,-0.0357893,-1.1963668,0.010038807,0.21773462,-0.22271284,-0.46444851,1.0,0.39545175,0.12351831,0.69642317,0.70256555,0.10950849,0.34529322
134,12,female,child,dry & plenty,62.52791294,27.40286007,292.704,82.70842153,6.805312679,10.91680668,0,541.3035121,28.27494761,1667.713392,160.227373,5.467719463,2.0,2,2,4,0.84330195,0.4205938,0.85998428,2.1251936,0.43217775,0.004930995,-0.40771896,-0.59181976,-0.34532675,-1.6237755,-1.0868206,-1.0789789,-1.8911123,1.0,0.16541684,0.17270713,0.23562457,0.47294071,0.062936492,0.16701932
136,12,male,child,dry & plenty,99.00978945,61.76199996,170.9885788,80.84184991,9.305679588,10.3814064,0,625.6606313,45.44711189,1624.397789,461.218456,15.45250082,2.0,2,2,3,1.0,1.0,0.80473351,1.8414005,0.38143215,-0.94960088,-1.0692118,-0.70302588,-0.67080045,-0.45584905,-1.1321048,-0.89914906,-1.8911123,1.0,0.16168369,0.28211358,0.37872595,0.63708723,0.11063668,0.16701932
141,23,female,adult,dry & plenty,78.79816027,37.30470033,570.7554071,227.7540458,15.63044335,17.28309112,0,1188.429762,303.5353521,2908.697441,730.8002625,139.0664712,9.0,6,7,8,1.0,1.0,0.87117547,2.4134498,0.4482094,0.19827397,0.26417691,-0.2379822,-0.24250247,0.17344418,0.78417987,0.13639879,-0.074661918,1.0,0.28469256,0.11994773,0.94854796,0.7255314,0.11842901,0.39400041
143,20,female,adult,dry & plenty,118.7011573,79.26851807,588.2439467,489.4865549,18.30837098,25.02887643,0,1375.683938,661.3690321,3539.71722,1933.688709,170.5951832,11.0,6,7,8,1.0,1.0,0.88578123,2.6504278,0.52920032,0.45060828,0.81654871,-0.31380454,0.27695945,0.64751709,0.3564454,0.5730058,1.0635306,1.0,0.61185819,0.1411023,1.0,0.79216009,0.1389153,0.53622735
144,12,female,child,dry & plenty,20.75066991,22.42197584,81.05150295,52.38627739,2.613659092,3.703014926,0,213.2984259,45.129253,609.374474,127.4457921,15.7772973,6.0,5,6,8,0.67076731,1.0,0.90454274,2.5372598,0.36984503,0.77473891,0.55276561,-0.2906366,-0.7451182,-1.7090023,0.39521578,-0.38399482,-1.1769514,0.54456103,0.10477255,0.069596961,0.37607712,0.4609625,0.060568441,0.25625986
147,22,female,adult,dry & plenty,115.4573842,52.514159,516.6910625,637.7550592,37.59618617,28.23610287,0,1370.106137,658.566482,2992.39378,11863.2252,215.2712529,6.0,4,5,6,1.0,1.0,0.87711334,2.3947625,0.46022284,0.3008588,0.22061883,-0.17479692,-0.16545033,1.1928533,-0.16105448,-0.38174924,0.54272008,1.0,0.79719383,0.41563314,1.0,0.86880451,0.11256538,0.4711476
148,12,male,child,dry & plenty,78.83248311,40.3914896,355.6745087,541.7176931,10.58661606,13.04973164,0,1026.501494,120.5592154,2098.083786,817.4534985,15.73868113,7.0,7,8,9,1.0,1.0,0.87231207,2.1629183,0.47742885,0.21791029,-0.31978643,-0.31380454,-0.055093888,1.2452737,1.7187556,-0.30066234,-0.45097268,1.0,1.0,0.25703153,1.0,0.87617195,0.14343084,0.34697714
149,21,female,adult,dry & plenty,140.19721,59.29865196,651.2968709,448.497356,23.53263098,25.04912945,0,1694.332478,365.2750768,3699.689495,2017.032045,260.4896996,8.0,6,6,7,1.0,1.0,0.86023599,2.2861671,0.5691548,0.009279634,-0.032505952,-0.19024222,0.53322071,0.64881819,0.49353978,-0.041161437,0.92888963,1.0,0.56062168,0.19343616,1.0,0.79234296,0.13671286,0.5194028
150,12,female,child,dry & plenty,39.32082729,28.72715608,119.1005911,263.7729573,4.276663467,5.865595834,0,452.6603279,179.2552331,890.9387364,809.4770693,36.61128064,7.0,4,5,7,1.0,1.0,0.90146178,2.3717246,0.20622881,0.72151107,0.1669198,-0.43295392,-1.7945248,0.34556556,-0.16477112,-0.27753446,0.25610226,0.86258763,0.52754593,0.10820003,1.0,0.74972224,0.13358451,0.43533224
151,23,female,adult,dry & plenty,56.7972045,17.0713,343.1453484,381.7827499,11.98138134,12.38773481,0,1013.112933,511.8836513,1753.448412,2722.890333,151.776516,7.0,5,5,6,1.0,1.0,0.78490019,1.7548757,0.602341,-1.2922485,-1.2708925,-0.35352102,0.74607134,0.43456799,0.27994451,-0.25771058,0.25610226,1.0,0.47722843,0.096158378,1.0,0.76223111,0.13472262,0.43533224
152,12,male,child,dry & plenty,71.57491655,46.24269759,105.3835038,184.6874672,5.14635611,9.693039426,0,565.035487,27.56257411,1123.106097,271.3928303,8.888787802,4.0,3,4,6,1.0,0.68375289,0.88527906,2.3948927,0.5181846,0.44193265,0.22092226,-0.43295392,0.20630655,-0.90138543,-0.82032728,-0.48097157,-1.4173692,1.0,0.36937493,0.16399939,0.22968812,0.57446921,0.078748807,0.22621758
155,20,female,adult,dry & plenty,110.9036043,34.61813112,691.9054475,461.4556585,18.2910819,23.08228711,0,1471.492733,640.5278626,3522.799387,2833.349614,147.4654194,7.0,5,6,7,1.0,1.0,0.83957827,2.2375727,0.57289767,-0.34761047,-0.14577474,-0.42501065,0.5572269,0.61780751,0.24343,-0.20915641,-0.5329839,1.0,0.5768196,0.15108761,1.0,0.78798455,0.13889876,0.33672914
1138,12,female,child,dry & plenty,45.55245714,22.23779053,252.3777429,188.9742858,9.518568572,10.853186,0,718.8000002,169.2778571,1387.068915,396.7417143,5.405714305,6.0,4,4,6,1.0,0.41582417,0.80037832,1.7100952,0.4936161,-1.0248427,-1.3752713,0.043643627,0.048728384,-0.19588429,-0.19472951,-0.52750802,-0.95373654,1.0,0.37794858,0.24797137,1.0,0.67362404,0.11084335,0.28415248
1140,12,male,child,dry & plenty,85.46199845,39.001999,233.539,156.9924995,9.624607388,11.29436914,0,669.0633262,92.19899954,1627.021985,1000.199991,5.039999756,3.0,3,4,5,1.0,0.3876923,0.82959366,1.8662195,0.4057664,-0.52010816,-1.0113612,-0.54548389,-0.51472467,-0.52644193,-0.70313764,-1.019187,-1.6255263,1.0,0.31398499,0.29299214,0.76832497,0.62716573,0.0839504,0.20020658
1142,12,male,child,dry & plenty,37.03003349,10.24234857,267.5950435,174.7957849,7.553551248,8.54853233,0,560.683815,194.3233941,1310.694922,855.1169966,134.5943459,7.0,3,5,8,1.0,1.0,0.82151639,2.03578,0.56570911,-0.6596539,-0.61613309,-0.140045,0.51112068,0.35649833,-0.52084273,-0.22271284,-0.42456505,1.0,0.34959158,0.15796103,1.0,0.75125879,0.13862701,0.35027701
1145,19,female,adult,dry & plenty,98.08582431,22.61639627,771.7924465,315.4357784,17.26126227,22.79428302,0,1276.386847,264.7942987,3681.88335,1428.511288,57.48959495,11.0,5,7,8,1.0,1.0,0.81003696,1.926061,0.70709562,-0.85797673,-0.87187678,-0.21270809,1.4179497,0.18229251,0.24635117,0.57400233,0.54416656,1.0,0.39429471,0.13887316,0.82748216,0.72677499,0.11117356,0.47132835
1146,12,male,child,dry & plenty,17.29840391,8.377658213,136.2462,38.76493761,3.109205788,3.804185175,0,201.351864,20.41714005,689.6882448,65.89100526,0.086315788,3.0,3,3,4,0.34679475,0.006639676,0.71259147,1.3767858,0.4972893,-2.5414798,-2.1521816,-0.64742285,0.072287641,-3.5258503,-0.83706862,-1.2133178,-1.5645744,0.559439,0.077529877,0.073132798,0.17014283,0.20561315,0.038992658,0.20782304
1148,12,male,child,dry & plenty,48.06410232,10.47464666,262.771783,191.6773599,7.68015504,8.764891004,0,635.0817871,131.8113744,1337.615361,480.2630938,162.3524294,5.0,5,5,6,1.0,1.0,0.83387721,1.9398361,0.48563018,-0.44610411,-0.83976835,-0.035789296,-0.002491946,0.4158268,0.38761547,-0.72675973,-1.0700587,1.0,0.38335472,0.1742281,1.0,0.75959712,0.13265298,0.26961702
1149,20,female,adult,dry & plenty,135.1932945,83.38095307,647.6116077,271.5421973,17.9156328,24.46827772,0,1280.045576,231.8608066,3881.612525,622.940083,24.3896863,8.0,7,8,9,1.0,0.73908138,0.76653206,1.7119938,0.65137661,-1.6095828,-1.3708457,-0.31380454,1.0605774,-0.29339874,1.3480436,-0.049462903,-0.33428061,1.0,0.33942774,0.15643883,0.72456503,0.65991884,0.083419763,0.36155882
1152,12,female,child,dry & plenty,41.26239876,17.52422344,250.2299178,130.1607467,7.683177138,9.063436556,0,500.0845527,122.9348005,1324.180992,480.8535029,26.0230317,10.0,6,8,10,1.0,1.0,0.80611163,2.0236166,0.6363712,-0.92579204,-0.64448476,-0.26474303,0.96433526,0.26085243,1.1017404,0.31223905,0.62388533,1.0,0.2603215,0.16657582,1.0,0.73781621,0.12687966,0.48128989
1156,12,female,child,dry & plenty,120.1187485,73.90333175,356.1607437,807.5836105,11.72160943,14.70040781,0,1368.101282,127.5631641,2563.971539,1337.732818,10.88524958,4.0,4,5,6,1.0,0.83732688,0.89471197,2.3576941,0.22324435,0.60489899,0.13421623,-0.48756406,-1.68539,1.1707695,-0.20400234,-0.80161929,-1.6255263,1.0,1.0,0.35687748,1.0,0.86570072,0.13053109,0.20020658
1157,19,female,adult,dry & plenty,78.468,38.416,300.842,91.81000045,6.330770012,17.823053,0,664.0500006,24.649,1863.501,4.5e-09,0.450500052,3.0,2,2,3,1.67e-11,0.013651516,0.83340669,1.8964665,0.57367635,-0.45423296,-0.9408586,-0.59181976,0.56222117,-3.4925616,-0.81511545,-1.019187,-1.5645744,1.0,0.1147625,0.056308173,0.077028126,0.21029171,0.034722231,0.20782304
