id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
1399,25,female,adult,lean & wet,138.2839463,58.4152434,653.8054013,380.1775856,18.68948738,26.13472999,0,1375.81468,402.2508092,3696.116046,2019.874022,141.2015308,9.0,3,4,5,1.0,1.0,0.82481056,2.0185442,0.65519685,-1.0056738,-1.0513351,-0.22113279,1.3714395,0.3303473,-0.53425592,-0.010089532,0.38472372,1.0,0.47522199,0.17136726,1.0,0.77443153,0.13874815,0.46517274
1403,24,female,adult,lean & wet,109.6834251,45.51362741,631.8517005,270.0825959,16.16149746,25.82129691,0,1407.595483,141.5604575,3369.38489,402.9697261,26.57797726,8.0,4,5,6,1.0,0.80539328,0.80479378,1.8409674,0.67371798,-1.3323175,-1.4211326,-0.10529312,1.4863743,-0.64901555,-0.19983518,-0.21179332,0.085402273,1.0,0.33760324,0.13601603,0.44237643,0.62023151,0.082067333,0.42432633
1405,24,female,adult,lean & wet,100.757123,24.86457473,547.311563,252.6947808,16.66837163,18.78020052,0,1442.979972,268.8305925,2822.786207,1047.864067,116.7523516,11.0,4,6,7,1.0,1.0,0.82559419,2.0011566,0.63283801,-0.99288625,-1.0875442,-0.34855646,1.2326893,-0.043234777,-0.19075178,0.39234117,0.69143182,1.0,0.31586847,0.13770378,0.84009558,0.71561128,0.11152515,0.50702715
1409,34,female,adult,lean & wet,84.1746004,15.10855005,455.3538539,203.6628021,12.56604504,16.03885553,0,938.7700125,145.3955224,2294.090768,519.75,27.63700012,4.0,3,3,4,1.0,0.83748484,0.84902817,2.1022568,0.62136483,-0.61047918,-0.87700665,-0.66132361,1.1614913,-0.70429492,-0.52012217,-0.80637163,-1.0819955,1.0,0.2545785,0.12274231,0.45436102,0.6115278,0.081199802,0.26501933
1410,24,female,child,lean & wet,28.65419261,16.98678563,224.0971924,1474.359471,12.45256168,6.173070831,0,479.1157115,45.6725857,857.8002105,174.3561998,9.416357162,5.0,4,5,7,0.87178099,0.72433519,0.92331594,2.6581202,0.35765803,0.60178471,0.28055927,-0.004898718,-0.47496942,-0.18861054,-0.23605531,-0.5662452,-1.0819955,0.90780455,1.0,0.271806,0.38060489,0.69272196,0.093783133,0.26501933
1411,25,female,adult,lean & wet,89.8750492,50.68412373,596.5307146,439.9413929,21.72389158,20.29969127,0,1480.911812,588.0755197,3167.146909,2760.839815,146.4153894,7.0,4,5,6,1.0,1.0,0.90294933,2.6029637,0.43001679,0.26943249,0.16569787,-0.34855646,-0.025939448,0.39914829,-0.17485578,-0.35948157,-0.66123134,1.0,0.54992676,0.16165845,1.0,0.78526419,0.13889329,0.32243821
1413,32,female,adult,lean & wet,89.20890007,49.94609725,555.6155163,453.425398,13.39299551,17.24248606,0,1152.410181,204.828491,3090.898479,251.3131536,59.54580126,11.0,4,5,7,0.93078947,1.0,0.85219914,2.2770984,0.5006932,-0.55873382,-0.51290506,-0.07054121,0.41265059,-0.097083613,-0.19075178,0.41686252,-0.55623609,1.0,0.56678176,0.10513655,0.64008904,0.70713282,0.091252096,0.33676621
1417,34,female,adult,lean & wet,147.1505821,29.71465816,622.3096086,630.4295194,28.31059538,29.94751199,0,2014.677529,636.4004183,3344.00059,3474.446836,126.8927023,11.0,6,7,8,1.0,1.0,0.84343177,2.135066,0.57501882,-0.70180392,-0.8086825,0.075416796,0.87388617,0.73321587,0.55092341,0.38533509,-0.1143944,1.0,0.78803688,0.23914047,1.0,0.83786291,0.14013807,0.39706141
1425,28,female,adult,lean & wet,48.60315916,17.75741258,312.558309,150.7718373,7.684549359,11.92969881,0,808.9779248,290.417203,1590.063907,172.4498157,65.48111069,6.0,4,4,5,0.63870305,1.0,0.87682503,2.4335685,0.40212256,-0.15687647,-0.18706168,-0.2211328,-0.19904006,-0.57151097,-0.17485578,-0.33204517,-0.11939009,1.0,0.18846479,0.05988555,0.90755373,0.63243455,0.073973447,0.39637968
1427,24,female,adult,lean & wet,93.01963924,16.46538827,583.4802077,411.9238732,16.19433359,23.17915157,0,1505.622551,644.4561016,2848.281953,1369.986221,124.5993758,6.0,5,5,6,1.0,1.0,0.82489192,2.0599496,0.60463715,-1.0043461,-0.96510977,-0.06667988,1.0576859,0.33819079,0.14977226,-0.40444601,0.00578533,1.0,0.51490486,0.13909383,1.0,0.77566648,0.13777922,0.41346154
